net,length_um
_0139_,9.745
_0981_,9.735
_0357_,9.725
_0158_,9.7
_0302_,9.695
_0348_,9.695
_0691_,9.615
_0695_,9.615
_0819_,9.595
_0584_,9.535
_0917_,9.535
_0102_,9.525
_0004_,9.52
_0420_,9.455
_0593_,9.435
_0092_,9.425
_0701_,9.42
_0606_,9.4
_0263_,9.395
_0140_,9.385
_0141_,9.385
_0341_,9.275
_0355_,9.275
_0513_,9.275
_0352_,9.225
_0406_,9.195
_0813_,9.195
vbias3[6],9.165
_0590_,9.155
_0675_,9.155
vbias1[0],9.145
_0898_,9.12
_0040_,9.08
_0517_,9.075
_0397_,9.06
_0703_,8.96
_0543_,8.94
_0942_,8.94
_0403_,8.935
dac[0],8.935
dac[1],8.935
dac[2],8.935
lock,8.935
_0601_,8.93
_0014_,8.9
_0145_,8.885
_0238_,8.885
_0269_,8.855
_0800_,8.835
_0211_,8.83
_0030_,8.825
_0062_,8.82
_0938_,8.775
_0085_,8.755
_0311_,8.745
dac[7],8.72
_0160_,8.7
_0589_,8.695
_0845_,8.695
_0947_,8.695
_0463_,8.655
_0937_,8.655
_0943_,8.655
_0871_,8.65
_0296_,8.62
_0941_,8.615
_0983_,8.615
_0849_,8.6
_0896_,8.6
_0577_,8.56
_0764_,8.56
_0534_,8.555
_0156_,8.545
net9,8.52
vbias2[7],8.5
vbias3[4],8.485
_0261_,8.48
_0846_,8.48
_0213_,8.465
slope_ctrl[1],8.465
_0870_,8.415
_0217_,8.405
_0371_,8.395
_0364_,8.355
_0417_,8.355
_0046_,8.325
_0152_,8.32
_0149_,8.28
_0063_,8.265
_0506_,8.25
_0899_,8.235
_0154_,8.22
_0960_,8.195
_0961_,8.195
_0299_,8.16
_0402_,8.16
_0801_,8.1
_0803_,8.07
_0557_,8.04
_0959_,8.04
vbias2[0],8.04
vbias2[1],8.04
vbias2[4],8.04
vbias2[5],8.04
vbias2[6],8.04
_0183_,8.035
_0232_,8.035
_0422_,8.03
_0157_,8.005
_0257_,7.995
_0874_,7.94
_0877_,7.91
_0036_,7.9
_0448_,7.895
_0475_,7.895
d5.fll_core.counter1.count\[9\],7.895
_0381_,7.855
_0610_,7.855
_0704_,7.82
_0786_,7.82
_0382_,7.815
_0488_,7.815
_0084_,7.78
_0487_,7.775
_0544_,7.775
_0869_,7.755
_0460_,7.735
_0627_,7.735
_0685_,7.735
_0935_,7.735
_0318_,7.72
_0025_,7.695
_0074_,7.69
_0572_,7.64
_0135_,7.585
_0466_,7.58
_0482_,7.58
_0915_,7.58
_0920_,7.58
_0921_,7.58
_0930_,7.58
_0710_,7.56
_0282_,7.515
_0307_,7.515
_0103_,7.44
_0901_,7.435
net11,7.435
_0023_,7.425
_0041_,7.425
_0650_,7.4
_0373_,7.395
_0546_,7.395
_0623_,7.395
_0974_,7.395
d5.fll_core.counter2.count\[9\],7.395
d5.mux01.out\[8\],7.395
corner[2],7.345
_0514_,7.315
_0598_,7.315
_0936_,7.315
_0076_,7.3
_0234_,7.29
_0563_,7.275
_0900_,7.275
_0207_,7.27
_0044_,7.26
_0255_,7.26
_0346_,7.24
_0393_,7.24
_0567_,7.24
_0893_,7.24
_0629_,7.18
_0444_,7.095
_0836_,7.035
_0233_,7.03
_0070_,7.015
_0115_,7.015
_0252_,6.985
_0409_,6.975
_0073_,6.94
_0570_,6.935
_0705_,6.935
_0853_,6.935
d5.mux01.out\[2\],6.935
_0021_,6.88
_0933_,6.855
d5.mux01.out\[7\],6.84
_0447_,6.82
_0519_,6.815
_0525_,6.815
_0585_,6.815
_0794_,6.815
_0015_,6.795
_0138_,6.785
_0372_,6.78
_0457_,6.78
_0099_,6.77
_0499_,6.755
_0676_,6.72
_0792_,6.715
_0093_,6.71
_0155_,6.71
_0186_,6.71
_0875_,6.695
vbias3[3],6.665
_0548_,6.66
_0647_,6.66
_0953_,6.66
_0516_,6.64
_0450_,6.635
_0378_,6.595
_0173_,6.565
_0182_,6.525
_0190_,6.52
_0389_,6.515
_0442_,6.515
_0966_,6.515
_0560_,6.5
_0980_,6.5
_0007_,6.475
_0474_,6.475
_0884_,6.475
vbias3[2],6.445
vbias3[5],6.445
_0679_,6.44
slope_ctrl[2],6.425
vbias1[4],6.425
_0670_,6.395
_0686_,6.395
_0855_,6.395
_0971_,6.395
_0331_,6.38
_0617_,6.355
_0644_,6.355
_0859_,6.355
_0927_,6.355
_0132_,6.325
corner[1],6.325
vbias3[1],6.325
_0192_,6.285
_0902_,6.26
_0547_,6.255
_0568_,6.2
_0625_,6.2
_0613_,6.18
_0880_,6.18
_0383_,6.175
_0434_,6.175
_0187_,6.165
_0326_,6.16
_0281_,6.135
_0390_,6.135
_0411_,6.135
_0878_,6.12
_0045_,6.105
_0210_,6.105
_0043_,6.065
_0324_,6.055
_0687_,6.055
_0741_,6.055
_0895_,6.055
_0266_,6.015
_0358_,6.015
_0362_,6.015
_0421_,6.015
_0914_,6.015
d5.mux01.out\[1\],6.015
_0510_,5.98
_0315_,5.935
_0526_,5.935
_0677_,5.935
_0016_,5.92
_0143_,5.92
_0268_,5.915
_0486_,5.895
_0539_,5.895
_0592_,5.895
_0682_,5.895
_0856_,5.895
_0925_,5.895
_0008_,5.86
_0081_,5.84
_0844_,5.835
_0578_,5.795
_0655_,5.795
_0412_,5.775
_0146_,5.745
vbias1[3],5.745
vbias1[7],5.745
_0621_,5.72
_0136_,5.705
_0304_,5.675
_0116_,5.645
_0019_,5.595
_0359_,5.595
_0531_,5.595
_0873_,5.595
_0913_,5.595
net16,5.595
_0562_,5.58
_0555_,5.575
_0086_,5.56
_0148_,5.56
_0239_,5.56
_0242_,5.56
_0502_,5.555
_0656_,5.555
_0837_,5.555
_0842_,5.555
_0879_,5.555
_0924_,5.555
_0951_,5.555
_0088_,5.53
_0098_,5.53
_0376_,5.5
_0332_,5.48
_0528_,5.475
_0646_,5.475
_0250_,5.45
slope_ctrl[0],5.405
vbias1[1],5.405
_0323_,5.4
_0327_,5.4
_0424_,5.4
_0425_,5.4
_0459_,5.4
_0052_,5.39
_0329_,5.38
_0554_,5.375
_0889_,5.375
_0642_,5.355
_0108_,5.34
_0047_,5.315
_0083_,5.315
_0169_,5.315
_0178_,5.315
_0184_,5.315
_0208_,5.315
_0216_,5.315
_0220_,5.315
_0089_,5.285
_0172_,5.285
_0280_,5.255
_0423_,5.255
_0343_,5.215
_0634_,5.19
_0225_,5.185
_0090_,5.145
_0201_,5.145
_0360_,5.135
_0385_,5.135
_0561_,5.135
_0697_,5.135
_0946_,5.135
_0321_,5.095
vbias1[2],5.065
vbias1[5],5.065
vbias1[6],5.065
_0223_,5.04
_0365_,5.04
_0668_,5.015
_0683_,5.015
_0692_,5.015
_0940_,5.015
_0125_,4.975
_0221_,4.975
_0240_,4.975
_0290_,4.94
_0333_,4.94
_0339_,4.94
_0344_,4.94
_0405_,4.94
_0427_,4.94
_0429_,4.94
_0432_,4.94
_0433_,4.94
_0435_,4.94
_0438_,4.94
_0441_,4.94
_0523_,4.94
_0569_,4.94
_0622_,4.94
d5.mux01.out\[9\],4.94
_0582_,4.915
_0426_,4.895
_0055_,4.88
_0087_,4.88
_0571_,4.875
