net,length_um
d5.mux01.out\[3\],4.675
_0549_,4.66
vbias3[6],4.605
_0170_,4.58
_0308_,4.58
_0724_,4.555
_0853_,4.555
_0156_,4.54
_0195_,4.54
_0218_,4.54
_0148_,4.53
_0207_,4.53
_0349_,4.52
_0090_,4.51
_0265_,4.51
_0314_,4.51
_0411_,4.51
_0454_,4.51
_0264_,4.48
_0289_,4.48
_0331_,4.48
_0372_,4.48
_0432_,4.48
_0576_,4.48
_0242_,4.465
_0664_,4.455
_0677_,4.455
_0139_,4.44
_0646_,4.415
_0588_,4.36
_0899_,4.36
_0003_,4.335
_0323_,4.335
_0058_,4.295
_0072_,4.295
_0188_,4.295
_0324_,4.215
_0369_,4.215
_0370_,4.215
_0478_,4.215
_0505_,4.215
_0799_,4.215
_0855_,4.215
_0858_,4.215
_0867_,4.215
_0878_,4.215
net11,4.215
_0536_,4.14
_0661_,4.14
_0690_,4.14
_0710_,4.14
_0716_,4.14
_0718_,4.14
_0013_,4.12
_0510_,4.095
_0511_,4.095
_0558_,4.095
_0621_,4.095
_0680_,4.095
_0687_,4.095
_0816_,4.095
_0885_,4.095
_0907_,4.095
_0050_,4.07
_0112_,4.07
_0136_,4.07
_0178_,4.025
_0260_,4.02
_0275_,4.02
_0282_,4.02
_0292_,4.02
_0297_,4.02
_0319_,4.02
_0333_,4.02
_0356_,4.02
_0381_,4.02
_0383_,4.02
_0388_,4.02
_0405_,4.02
_0406_,4.02
_0408_,4.02
_0409_,4.02
_0410_,4.02
_0412_,4.02
_0420_,4.02
_0429_,4.02
_0434_,4.02
_0436_,4.02
_0942_,4.02
d5.mux01.out\[9\],4.02
_0832_,3.98
_0489_,3.9
_0544_,3.9
_0553_,3.9
_0561_,3.9
_0572_,3.9
_0583_,3.9
_0585_,3.9
_0605_,3.9
_0607_,3.9
_0616_,3.9
_0663_,3.9
_0673_,3.9
_0698_,3.9
_0717_,3.9
_0735_,3.9
_0741_,3.9
_0809_,3.9
_0824_,3.9
_0873_,3.9
_0877_,3.9
_0882_,3.9
_0886_,3.9
_0889_,3.9
_0890_,3.9
_0052_,3.88
_0106_,3.88
_0284_,3.875
_0326_,3.875
_0457_,3.865
_0043_,3.805
_0189_,3.805
_0217_,3.805
_0092_,3.76
_0316_,3.755
_0371_,3.755
_0501_,3.755
_0579_,3.755
_0808_,3.755
net13,3.755
_0134_,3.69
_0137_,3.69
_0196_,3.69
_0074_,3.66
_0627_,3.635
_0705_,3.635
_0895_,3.635
_0235_,3.615
_0036_,3.565
net9,3.54
_0591_,3.535
_0060_,3.52
_0248_,3.52
_0115_,3.445
_0145_,3.445
_0222_,3.445
_0418_,3.44
_0636_,3.44
_0721_,3.44
